"PY"	"TI"	"AU"	"DES"	"IDS"	"DI"	"SO"	"C1S"	"Coder"	"DT"
2006	"WORK IN PROGRESS: AN INTELLIGENT TUTORING SYSTEM FOR FORENSIC BIOLOGY"	"BUTZ BP;MILLER SM;DUARTE M;WLODARCZYK B;COOPER RA"	"ARTIFICIAL INTELLIGENCE;  BIOLOGY;  INTELLIGENT TUTORING SYSTEMS;  INTERACTIVE MULTIMEDIA"	"ARTIFICIAL INTELLIGENCE;  BIOLOGY;  COMPUTER AIDED INSTRUCTION;  EDUCATION COMPUTING;  FORENSIC SCIENCE;  INTELLIGENT SYSTEMS;  INTERACTIVE COMPUTER SYSTEMS;  KNOWLEDGE ACQUISITION;  LEARNING SYSTEMS;  MULTIMEDIA SYSTEMS; EVOLUTIONARY BIOLOGY;  INTELLIGENT SOFTWARE;  INTELLIGENT TUTORING SYSTEM;  INTERACTIVE MULTIMEDIA;  LEARNING ENVIRONMENTS;  MULTI-MEDIA LEARNING;  SCIENTIFIC INQUIRY;  SOFTWARE ENVIRONMENTS; STUDENTS"	"10.1109/FIE.2006.322736"	"PROCEEDINGS - FRONTIERS IN EDUCATION CONFERENCE, FIE"	"INTELLIGENT SYSTEMS APPLICATION CENTER, COLLEGE OF ENGINEERING, TEMPLE UNIVERSITY;COLLEGE OF EDUCATION, TEMPLE UNIVERSITY;PENNSBURY HIGH SCHOOL, FAIRLESS HILLS, PA 19030, UNITED STATES"	"Scopus"	"CONFERENCE MATERIAL"
2007	"\"CSI -VANCOUVER\": A SYNERGISTIC COMBINATION OF TECHNOLOGY, COOPERATION AND DETERMINATION SOLVES A \"STICKY\" CASE"	"WINCHELL P;ALLENDE-GARCIA R;REID D;EDMONDS C"	NA	"ANALYTICAL INSTRUMENTS;  ANNUAL MEETINGS;  CASE STUDIES;  CATALYST PAPERS;  CIBA SPECIALTY CHEMICALS;  COMMON SOURCES;  FT-IR SPECTROSCOPY;  HIGH-TECH EQUIPMENTS;  PREPRINTS;  PROBLEM SOLVERS;  PULP AND PAPER TECHNICAL ASSOCIATION OF CANADA;  PYROLYSIS-GAS CHROMATOGRAPHY;  RECYCLED FIBERS;  RECYCLING OPERATIONS;  RUNNABILITY;  SHEET DEFECTS;  TECHNICAL PERSONNEL;  TROUBLE SHOOTING;  VANCOUVER; CATALYSIS;  CHEMICAL REACTIONS;  CHROMATOGRAPHIC ANALYSIS;  FIBER OPTICS;  FOURIER TRANSFORM INFRARED SPECTROSCOPY;  GAS CHROMATOGRAPHY;  LAW ENFORCEMENT;  PAPER AND PULP INDUSTRY;  PERSONNEL;  PYROLYSIS;  RECYCLING;  STYRENE;  WIRELESS TELECOMMUNICATION SYSTEMS; PAPER SHEETING; CATALYSTS;  CHROMATOGRAPHY;  INFRARED SPECTROSCOPY;  PAPER SHEETS;  PULP INDUSTRY;  REACTION KINETICS"	NA	"ANNUAL MEETING OF THE PULP AND PAPER TECHNICAL ASSOCIATION OF CANADA (PAPTAC)"	"CATALYST PAPER CORPORATION, CROFTON DIVISION;CATALYST PAPER CORPORATION, PORT ALBERNI DIVISION;CATALYST PAPER CORPORATION, PAPER RECYCLING DIVISION;CIBA SPECIALITY CHEMICALS, SUFFOLK, VA, UNITED STATES"	"Scopus"	"CONFERENCE MATERIAL"
2007	"A COMPARISON OF DEVELOPED AND VALIDATED CHROMATOGRAPHIC METHODS (HPLC, GC-MS) FOR DETERMINATION OF DELTA-9-TETRAHYDROCANNABINOL (9- THC) AND DELTA-9-TETRAHYDROCANNABINOLIC ACID (9-THCA-A) IN HEMP [PORWNANIE OPRACOWANYCH I ZWALIDOWANYCH CHROMATOGRAFICZNYCH METOD (HPLC, GC-MS) OZNACZANIA DELTA-9-TETRAHYDROKANNABINOLU (9-THC) I KWASU DELTA-9-TETRAHYDROKANNABINOLOWEGO (9-THCA-A) W ZIELU KONOPI]"	"STANASZEK R;ZUBA D"	"DELTA-9- TETRAHYDROCANNABINOLIC ACID;  DELTA-9-TETRAHYDROCANNABINOL;  FIBRE CANNABIS;  HEMP"	"ACETONITRILE;  CANNABIS;  DRONABINOL;  METHANOL;  PHOSPHORIC ACID;  TETRAHYDROCANNABINOLIC ACID;  WATER; ACCURACY;  ARTICLE;  ASSAY;  CALIBRATION;  CORRELATION COEFFICIENT;  ELUTION;  HIGH PERFORMANCE LIQUID CHROMATOGRAPHY;  INTERMETHOD COMPARISON;  MASS FRAGMENTOGRAPHY;  QUANTITATIVE ANALYSIS;  SEPARATION TECHNIQUE;  VALIDATION PROCESS"	NA	"Z ZAGADNIEN NAUK SADOWYCH"	"INSTITUTE OF FORENSIC RESEARCH, CRACOW, POLAND;INSTYTUT EKSPERTYZ SADOWYCH, UL. WESTERPLATTE 9, PL 31-033 KRAKW, POLAND"	"Scopus"	"ARTICLE"
2007	"A FATAL CASE OF HYPOTHERMIA ASSOCIATED WITH HEMORRHAGES OF THE PECTORALIS MINOR, INTERCOSTAL, AND ILIOPSOAS MUSCLES"	"OGATA M;AGO K;AGO M;KONDO T;KASAI K;ISHIKAWA T;MIZUKAMI H"	"HYPOTHERMIA;  ILIOPSOAS MUSCLE;  INTERCOSTAL MUSCLE;  MUSCLE HEMORRHAGES;  PECTORALIS MINOR MUSCLE"	"HEAT SHOCK PROTEIN;  UBIQUITIN; ABRASION;  ADENOHYPOPHYSIS;  ADULT;  ARTICLE;  AUTOPSY;  CASE REPORT;  CELL VACUOLE;  CYTOPLASM;  FACE;  FATALITY;  HEART MUSCLE CELL;  HISTOLOGY;  HUMAN;  HUMAN TISSUE;  HYPOTHERMIA;  ILIOPSOAS MUSCLE;  INTERCOSTAL MUSCLE;  LUNG COLLAPSE;  MALE;  MUSCLE BLEEDING;  PECTORAL MUSCLE;  TOXICOLOGY; ABDOMINAL MUSCLES;  AGED;  DEATH; SUDDEN;  DIAGNOSIS; DIFFERENTIAL;  FORENSIC PATHOLOGY;  HEMORRHAGE;  HUMANS;  PECTORALIS MUSCLES"	"10.1097/PAF.0b013e31814250cc"	"AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY"	"DEPARTMENT OF LEGAL MEDICINE, GRADUATE SCHOOL OF MEDICAL AND DENTAL SCIENCES, KAGOSHIMA UNIVERSITY, KAGOSHIMA, JAPAN;DEPARTMENT OF FORENSIC MEDICINE, WAKAYAMA MEDICAL UNIVERSITY, WAKAYAMA, JAPAN;DEPARTMENT OF FORENSIC MEDICINE, SCHOOL OF MEDICINE, UNIVERSITY OF OCCUPATIONAL AND ENVIRONMENTAL HEALTH, KITAKYUSHU, JAPAN;DEPARTMENT OF LEGAL MEDICINE, OSAKA CITY UNIVERSITY MEDICAL SCHOOL, OSAKA, JAPAN;DEPARTMENT OF FORENSIC MEDICINE, TOKYO MEDICAL UNIVERSITY, TOKYO, JAPAN;DEPARTMENT OF LEGAL MEDICINE, GRADUATE SCHOOL OF MEDICAL AND DENTAL SCIENCES, KAGOSHIMA UNIVERSITY, SAKURAGAOKA 8-35-1, KAGOSHIMA 890-8544, JAPAN"	"Scopus"	"ARTICLE"
2007	"A REVIEW OF METHODS OF PREPARING SAMPLES FOR CHROMATOGRAPHIC ANALYSIS FOR THE PRESENCE OF ORGANIC EXPLOSIVE SUBSTANCES [PRZEGLAD METOD PRZYGOTOWANIA PRBEK DO ANALIZY CHROMATOGRAFICZNEJ NA OBECNO ORGANICZNYCH RODKW WYBUCHOWYCH]"	"BORUSIEWICZ R"	"CHROMATOGRAPHIC ANALYSIS;  EXTRACTION;  ORGANIC EXPLOSIVES;  SAMPLE PREPARATION METHODS;  SDME;  SPE;  SPME"	"EXPLOSIVE; ADSORPTION KINETICS;  AIR ANALYSIS;  CHEMICAL ANALYSIS;  CHROMATOGRAPHY;  DUST;  FILTER;  LIQUID;  REVIEW;  SAMPLING;  SEDIMENT;  SOIL POLLUTION;  SOLID PHASE EXTRACTION;  SOLID PHASE MICROEXTRACTION;  SOLID STATE;  SOLVENT EXTRACTION;  SYNTHESIS;  TERRORISM;  WASTE"	NA	"Z ZAGADNIEN NAUK SADOWYCH"	"INSTITUTE OF FORENSIC RESEARCH, KRAKOW, POLAND;INSTYTUT EKSPERTYZ SADOWYCH, UL. WESTERPLATTE 9, PL 31-033 KRAKW, POLAND"	"Scopus"	"REVIEW"
2007	"A STUDY ON RETICULAR FIBERS AND COLLAGEN TYPE III IN RAT SKIN WOUNDS"	"KINOSHITA M;HOSHI T;ARAI T;NOGAMI M"	"COLLAGEN TYPE III;  RETICULAR FIBER;  RETICULIN SILVER IMPREGNATION;  WOUND"	"COLLAGEN TYPE 3;  EOSIN;  HEMATOXYLIN;  RETICULIN; ARTICLE;  CONTROLLED STUDY;  HISTOPATHOLOGY;  IMMUNOHISTOCHEMISTRY;  IMMUNOREACTIVITY;  MALE;  NONHUMAN;  RAT;  SILVER IMPREGNATION;  SKIN INCISION;  SKIN INJURY"	NA	"TEIKYO MEDICAL JOURNAL"	"DEPARTMENT OF LEGAL MEDICINE, TEIKYO UNIVERSITY SCHOOL OF MEDICINE"	"Scopus"	"ARTICLE"
2007	"A VALIDATED SPME-GC-MS METHOD FOR SIMULTANEOUS QUANTIFICATION OF CLUB DRUGS IN HUMAN URINE"	"BROWN SD;RHODES DJ;PRITCHARD BJ"	"CLUB DRUGS;  GC-MS;  SPME;  VALIDATION"	"3;4 METHYLENEDIOXYMETHAMPHETAMINE;  4 HYDROXYBUTYRIC ACID;  DEUTERIUM;  FORMIC ACID DERIVATIVE;  HEXYL CHLOROFORMATE;  KETAMINE;  METHAMPHETAMINE;  PYRIDINE;  RECREATIONAL DRUG;  UNCLASSIFIED DRUG; ACCURACY;  ARTICLE;  DERIVATIZATION;  DESORPTION;  DEVICE;  EXTRACTION;  GAS CHROMATOGRAPHY;  HUMAN;  ION PAIR CHROMATOGRAPHY;  MASS SPECTROMETRY;  PRIORITY JOURNAL;  QUANTITATIVE ANALYSIS;  QUANTITATIVE ASSAY;  SOLID PHASE MICROEXTRACTION;  STANDARD;  TEMPERATURE DEPENDENCE;  THICKNESS;  URINALYSIS;  VALIDATION PROCESS; CENTRAL NERVOUS SYSTEM AGENTS;  FORENSIC TOXICOLOGY;  FORMIC ACIDS;  GAS CHROMATOGRAPHY-MASS SPECTROMETRY;  HUMANS;  INDICATORS AND REAGENTS;  MOLECULAR STRUCTURE;  N-METHYL-3;4-METHYLENEDIOXYAMPHETAMINE;  PYRIDINES;  SODIUM OXYBATE;  STREET DRUGS;  SUBSTANCE ABUSE DETECTION"	"10.1016/j.forsciint.2006.10.015"	"FORENSIC SCIENCE INTERNATIONAL"	"THE CITADEL, CHEMISTRY DEPARTMENT, 171 MOULTRIE STREET, CHARLESTON, SC 29409-6220, UNITED STATES"	"Scopus"	"ARTICLE"
2007	"AN INVESTIGATION INTO THE USE OF CALCULATING THE FIRST DERIVATIVE OF ABSORBANCE SPECTRA AS A TOOL FOR FORENSIC FIBRE ANALYSIS"	"WIGGINS KG;PALMER R;HUTCHINSON W;DRUMMOND P"	"COMPARISON;  FIBRES;  FIRST DERIVATIVE;  MICROSPECTROPHOTOMETRY;  SPECTRA"	"ACRYLIC ACID;  NYLON;  POLYESTER; ARTICLE;  CALCULATION;  COLOR;  COTTON;  DEVICE;  FIBER;  FORENSIC SCIENCE;  LIGHT ABSORPTION;  MATHEMATICAL ANALYSIS;  MICROSPECTROPHOTOMETRY;  SPECTRAL SENSITIVITY;  SPECTROPHOTOMETER;  ULTRAVIOLET RADIATION;  WOOL; FORENSIC SCIENCES;  SENSITIVITY AND SPECIFICITY;  SPECTRUM ANALYSIS;  TEXTILES"	"10.1016/j.scijus.2006.11.001"	"SCIENCE AND JUSTICE"	"THE FORENSIC SCIENCE SERVICE, 109 LAMBETH ROAD, LONDON, SE1 7LP, UNITED KINGDOM;THE FORENSIC SCIENCE SERVICE, HINCHINGBROOKE PARK, HUNTINGDON, CAMBRIDGESHIRE PE29 6NU, UNITED KINGDOM"	"Scopus"	"ARTICLE"
2007	"APPLICATION OF HOLLOW FIBER LIQUID PHASE MICROEXTRACTION FOR THE DETERMINATION OF THREE ANALGESIC AND NARCOTIC DRUGS IN WATER AND BIOLOGICAL FLUID"	"ZHAO XL;LIU JT;GUO XM"	"FORENSIC TOXICOLOGY;  HOLLOW FIBER LIQUID PHASE MICROEXTRACTION;  KETAMINE;  PETHIDINE;  TRAMADOL"	"ALKALI;  ANALGESIC AGENT;  KETAMINE;  NARCOTIC AGENT;  NEFOPAM;  PETHIDINE;  SODIUM CHLORIDE;  TOLUENE;  TRAMADOL;  WATER; ARTICLE;  BODY FLUID;  CORRELATION COEFFICIENT;  HOLLOW FIBER MEMBRANE;  HUMAN;  LIQUID PHASE MICROEXTRACTION;  PH MEASUREMENT;  URINALYSIS;  WATER ANALYSIS"	NA	"CHINESE JOURNAL OF FORENSIC MEDICINE"	"FORENSIC MEDICINE, FORENSIC CHEMISTRY, CHINA MEDICAL UNIVERSITY, SHENYANG 110001, CHINA"	"Scopus"	"ARTICLE"
2007	"APPLICATION OF SOLID-PHASE MICROEXTRACTION IN ANALYTICAL TOXICOLOGY"	"PRAGST F"	"DRUG ANALYSIS BY SOLID-PHASE MICROEXTRACTION;  HEADSPACE EXTRACTION;  IN-TUBE SOLID-PHASE MICROEXTRACTION;  SAMPLE PREPARATION;  SOLID-PHASE MICROEXTRACTION;  VOLATILE POISONS"	"ABSORPTION;  BLOOD;  CHROMATOGRAPHIC ANALYSIS;  GAS CHROMATOGRAPHY;  IMMUNOLOGY;  LIQUID CHROMATOGRAPHY;  PESTICIDES;  SYRINGES; DRUG ANALYSIS;  HEADSPACE EXTRACTION;  IN-TUBE SOLID-PHASE MICROEXTRACTION;  SAMPLE PREPARATION;  SOLID-PHASE MICROEXTRACTION;  VOLATILE POISONS; PHASE SEPARATION; DRUG; CHEMISTRY;  EQUIPMENT DESIGN;  HUMAN;  INSTRUMENTATION;  ISOLATION AND PURIFICATION;  METHODOLOGY;  REVIEW;  SOLID PHASE MICROEXTRACTION;  TOXICOLOGY; ANALYTICAL;  HUMANS;  PHARMACEUTICAL PREPARATIONS"	"10.1007/s00216-007-1289-9"	"ANALYTICAL AND BIOANALYTICAL CHEMISTRY"	"INSTITUTE OF LEGAL MEDICINE, UNIVERSITY HOSPITAL CHARIT, HITTORFSTR. 18, 14195 BERLIN, GERMANY"	"Scopus"	"REVIEW"
2007	"ATRIAL NATRIURETIC PEPTIDE AND CD34 OVEREXPRESSION IN HUMAN IDIOPATHIC DILATED CARDIOMYOPATHIES"	"ARDIZZONE N;CAPPELLO F;DI FELICE V;RAPPA F;MINERVINI F;MARAS S;MARAS L;RABL W;ZUMMO G;SERGI C"	"ANP;  CD34;  ENDOTHELIAL CELLS;  NESTIN;  TROPONIN T;  VENTRICULAR MYOCYTES"	"ATRIAL NATRIURETIC FACTOR;  CD34 ANTIGEN;  NESTIN;  TROPONIN T; ADULT;  ARTICLE;  AUTOPSY;  CONGESTIVE CARDIOMYOPATHY;  CONTROLLED STUDY;  FEMALE;  GENE OVEREXPRESSION;  HEART MUSCLE;  HEART MUSCLE CELL;  HEART VENTRICLE;  HUMAN;  HUMAN TISSUE;  IMMUNOHISTOCHEMISTRY;  KAPLAN MEIER METHOD;  KAPPA STATISTICS;  MALE;  OBSERVER VARIATION;  PEPTIDE SYNTHESIS;  PRIORITY JOURNAL;  PROGNOSIS;  PROTEIN LOCALIZATION;  RETROSPECTIVE STUDY;  SURVIVAL; ANTIGENS; CD;  ANTIGENS; CD34;  ATRIAL NATRIURETIC FACTOR;  BIOLOGICAL MARKERS;  CARDIOMYOPATHY; DILATED;  HEART VENTRICLES;  HUMANS;  INTERMEDIATE FILAMENT PROTEINS;  NERVE TISSUE PROTEINS;  REFERENCE VALUES"	"10.1111/j.1600-0643.2007.00663.x"	"APMIS"	"DIPARTIMENTO DI MEDICINA SPERIMENTALE, SEZIONE DI ANATOMIA UMANA, UNIVERSIT DI PALERMO, PALERMO, ITALY;SERVIZIO DI ANATOMIA PATOLOGICA, OSPEDALE CIVICO, PALERMO, ITALY;SERVIZIO DI CARDIOCHIRURGIA, CARDIOCENTRO TICINO, LUGANO, SWITZERLAND;INSTITUTE OF FORENSIC MEDICINE, MEDICAL UNIVERSITY OF INNSBRUCK, AUSTRIA;INSTITUTE OF PATHOLOGY, MEDICAL UNIVERSITY OF INNSBRUCK, AUSTRIA;HUMAN ANATOMY SECTION, DEPARTMENT OF EXPERIMENTAL MEDICINE, UNIVERSITY OF PALERMO, VIA DEL VESPRO 129, 90127 - PALERMO, ITALY"	"Scopus"	"ARTICLE"
2007	"BALLPOINT PEN INKS: THE QUANTITATIVE ANALYSIS OF INK SOLVENTS ON PAPER BY SOLID-PHASE MICROEXTRACTION"	"BRAZEAU L;GAUDREAU M"	"BALLPOINT INKS;  FORENSIC SCIENCE;  GAS CHROMATOGRAPHY;  GC-MS;  MASS SPECTROMETRY;  QUESTIONED DOCUMENTS;  SOLID-PHASE MICROEXTRACTION;  SPME"	"2 PHENOXYETHANOL;  INK;  VOLATILE AGENT; ARTICLE;  DOCUMENT EXAMINATION;  GAS CHROMATOGRAPHY;  MASS SPECTROMETRY;  METHODOLOGY;  PAPER;  PRIORITY JOURNAL;  QUANTITATIVE ANALYSIS;  SAMPLE;  SCALPEL;  SOLID PHASE MICROEXTRACTION"	"10.1111/j.1556-4029.2006.00299.x"	"JOURNAL OF FORENSIC SCIENCES"	"LABORATORY AND SCIENTIFIC SERVICES DIRECTORATE, CANADA BORDERS SERVICES AGENCY, 79 BENTLEY AVENUE, OTTAWA, ONT. K2E 6T7, CANADA;CHIEF FORENSIC SCIENCES DIVISION, LABORATORY AND SCIENTIFIC SERVICES DIRECTORATE, CANADA BORDERS SERVICES AGENCY, 79 BENTLEY AVENUE, OTTAWA, ONT. K2E 6T7, CANADA"	"Scopus"	"ARTICLE"
2007	"BLOCKS OF COLOUR IV: THE EVIDENTIAL VALUE OF BLUE AND RED COTTON FIBRES"	"BIERMANN TW"	"COTTON;  FIBRES;  FLUORESCENCE;  FORENSIC SCIENCE;  MICROSPECTROPHOTOMETRY;  SPECTRAL FREQUENCY;  UV/VIS"	"ARTICLE;  COMPARATIVE STUDY;  COTTON;  ELECTROMAGNETIC RADIATION;  FIBER;  FLUORESCENCE MICROSCOPY;  FORENSIC IDENTIFICATION;  FREQUENCY ANALYZER;  MICROFLUOROMETRY;  MICROSCOPY;  MICROSPECTROPHOTOMETRY;  SAMPLE;  SPECTRAL SENSITIVITY;  THEORETICAL STUDY;  ULTRAVIOLET RADIATION; COLOR;  COTTON FIBER;  FORENSIC SCIENCES;  HUMANS; FLUORESCENCE;  SPECTRUM ANALYSIS"	"10.1016/j.scijus.2006.08.001"	"SCIENCE AND JUSTICE"	"KT33-FIBRES SECTION, FORENSIC SCIENCE INSTITUTE, BUNDESKRIMINALAMT, 65173 WIESBADEN, GERMANY"	"Scopus"	"ARTICLE"
2007	"CAN THE DIRECT CARDIAC EFFECTS OF THE ELECTRIC PULSES GENERATED BY THE TASER X26 CAUSE IMMEDIATE OR DELAYED SUDDEN CARDIAC ARREST IN NORMAL ADULTS?"	"IDEKER RE;DOSDALL DJ"	"FUNDAMENTAL LAW OF ELECTROSTIMULATION;  SUDDEN CARDIAC ARREST;  TASER;  VENTRICULAR FIBRILLATION"	"BODY SURFACE;  ELECTRIC CURRENT;  ELECTRIC FIELD;  ELECTRODE;  ELECTROPORATION;  ELECTROSTIMULATION;  EXTRASYSTOLE;  HEART ARREST;  HEART BEAT;  HEART MUSCLE CELL;  HEART MUSCLE NECROSIS;  HEART VENTRICLE FIBRILLATION;  HUMAN;  MEDICAL INSTRUMENTATION;  MEDICAL LITERATURE;  MUSCLE FIBER MEMBRANE;  NONHUMAN;  REVIEW; ANIMALS;  CELL MEMBRANE;  ELECTRIC STIMULATION;  ELECTRODES;  FORENSIC MEDICINE;  HEART;  HUMANS;  MEMBRANE POTENTIALS;  MYOCYTES; CARDIAC;  TIME FACTORS;  VENTRICULAR FIBRILLATION"	"10.1097/PAF.0b013e31803179a9"	"AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY"	"DEPARTMENT OF MEDICINE, DIVISION OF CARDIOVASCULAR DISEASE, UNIVERSITY OF ALABAMA AT BIRMINGHAM, BIRMINGHAM, AL, UNITED STATES;DEPARTMENT OF PHYSIOLOGY, UNIVERSITY OF ALABAMA AT BIRMINGHAM, BIRMINGHAM, AL, UNITED STATES;DEPARTMENT OF BIOMEDICAL ENGINEERING, UNIVERSITY OF ALABAMA AT BIRMINGHAM, BIRMINGHAM, AL, UNITED STATES;B140 VOLKER HALL, UNIVERSITY OF ALABAMA AT BIRMINGHAM, 1670 UNIVERSITY BLVD, BIRMINGHAM, AL 35294-0019, UNITED STATES"	"Scopus"	"REVIEW"
2007	"CHANGES OF NF200 EXPRESSION FOLLOWING HUMAN BRAIN CONTUSION"	"ZHOU Y-W;DENG WN;TAN L"	"BRAIN CONTUSION;  FORENSIC PATHOLOGY;  IMMUNOHISTOCHEMISTRY (IHC);  NF200;  POSTTRAUMATIC INTERVAL (PTI)"	"NEUROFILAMENT PROTEIN;  PROTEIN NF200;  UNCLASSIFIED DRUG; ARTICLE;  BRAIN CONTUSION;  BRAIN NERVE CELL;  CELL NUCLEUS;  CELLULAR DISTRIBUTION;  CONTROLLED STUDY;  HEAD INJURY;  HUMAN;  HUMAN CELL;  IMAGE ANALYSIS;  IMMUNOHISTOCHEMISTRY;  IMMUNOREACTIVITY;  MAJOR CLINICAL STUDY;  NERVE FIBER DEGENERATION;  NERVE FIBER MEMBRANE;  PROTEIN EXPRESSION"	NA	"CHINESE JOURNAL OF FORENSIC MEDICINE"	"FACULTY OF FORENSIC MEDICINE, TONGJI MEDICAL COLLEGE, HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY, WUHAN 430030, CHINA"	"Scopus"	"ARTICLE"
2007	"DESORPTION ELECTROSPRAY IONISATION MASS SPECTROMETRIC ANALYSIS OF CHEMICAL WARFARE AGENTS FROM SOLID-PHASE MICROEXTRACTION FIBERS"	"D'AGOSTINO PA;CHENIER CL;HANCOCK JR;JACKSON LEPAGE CR"	NA	NA	"10.1002/rcm.2867"	"RAPID COMMUNICATIONS IN MASS SPECTROMETRY"	"DRDC SUFFIELD, STATION MAIN, P.O. BOX 4000, MEDICINE HAT, ALTA. T1A 8K6, CANADA"	"Scopus"	"ARTICLE"
2007	"DETERMINATION OF CLOZAPINE CONCENTRATION IN PLASMA BY SOLID-PHASE MICROEXTRACTION- GAS CHROMATOGRAPHY-MASS SPECTROMETRY"	"WANG QW;MO YN;ZHOU HM"	"CLP;  FORENSIC TOXICOLOGY ANALYSIS;  GC-MS;  SPME"	"CLOZAPINE; ARTICLE;  DRUG BLOOD LEVEL;  DRUG DETERMINATION;  DRUG INTOXICATION;  FORENSIC SCIENCE;  GAS CHROMATOGRAPHY;  HUMAN;  MASS SPECTROMETRY;  SOLID PHASE MICROEXTRACTION"	NA	"CHINESE JOURNAL OF FORENSIC MEDICINE"	"FACULTY OF FORENSIC MEDICINE, TONGJI MEDICAL COLLEGE OF HUAZHONG UNIVERSITY OF SCIENCE AND TECHNOLOGY, WUHAN 430030, CHINA"	"Scopus"	"ARTICLE"
2007	"DEVELOPMENT OF AN ANALYTICAL PROTOCOL FOR FORENSIC IDENTIFICATION OF CHEMICAL WARFARE AGENT SURROGATES"	"KUANG W;FINGAS M;LI K"	"CHEMICAL WARFARE AGENT SURROGATES;  DEVELOPMENT OF A QUICK AND RELIABLE ANALYTICAL PROTOCOL;  GAS CHROMATOGRAPHY/MASS SPECTROMETRY;  SOLID PHASE MICRO-EXTRACTION"	NA	"10.1080/15275920701506664"	"ENVIRONMENTAL FORENSICS"	"SAIC CANADA, ENVIRONMENTAL EMERGENCIES PROGRAM, OTTAWA, ON, CANADA;EMERGENCIES SCIENCE AND TECHNOLOGY DIVISION, ENVIRONMENT CANADA, OTTAWA, ON, CANADA;335 RIVER ROAD, OTTAWA, ON K1A 0H3, CANADA"	"Scopus"	"ARTICLE"
2007	"DISCRIMINATION OF SINGLE FIBERS CONTAINING INORGANIC ANTI-MICROBIAL AGENTS BY SEM/EDX"	"HIGASHIKAWA Y;KASAMATSU M;SUZUKI Y;SUZUKI S"	"ANTI-MICROBIAL AGENT;  FORENSIC SCIENCE;  SEM/EDX;  SINGLE FIBER"	NA	"10.2116/bunsekikagaku.56.1183"	"BUNSEKI KAGAKU"	"NATIONAL RESEARCH INSTITUTE OF POLICE SCIENCE, 6-3-1, KASHIWANOHA, KASHIWA-SHI, CHIBA 277-0882, JAPAN"	"Scopus"	"ARTICLE"
2007	"EARLY DIAGNOSIS OF DIFFUSE BRAIN DAMAGE RESULTING FROM A BLUNT HEAD INJURY"	"OGATA M"	"DIFFUSE BRAIN DAMAGE;  DIFFUSE TRAUMATIC AXONAL INJURY;  DIFFUSE VASCULAR INJURY;  HEAD INJURY;  ISCHEMIC BRAIN DAMAGE"	"ARTICLE;  AUTOPSY;  BLUNT TRAUMA;  BRAIN DAMAGE;  CAUSE OF DEATH;  DIAGNOSTIC ACCURACY;  EARLY DIAGNOSIS;  FORENSIC PATHOLOGY;  GLIA CELL;  HEAD INJURY;  HISTOPATHOLOGY;  HUMAN;  IMMUNOHISTOCHEMISTRY;  NERVE CELL;  NERVE FIBER;  NEUROANATOMY;  NEUROPATHOLOGY;  SURVIVAL;  TRAUMATIC BRAIN INJURY; AUTOPSY;  BRAIN;  BRAIN INJURIES;  DIFFUSE AXONAL INJURY;  HEAD INJURIES; CLOSED;  HUMANS;  POSTMORTEM CHANGES"	"10.1016/j.legalmed.2006.11.013"	"LEGAL MEDICINE"	"DEPARTMENT OF LEGAL MEDICINE, GRADUATE SCHOOL OF MEDICAL AND DENTAL SCIENCES, KAGOSHIMA UNIVERSITY, 8-35-1 SAKURAGAOKA, KAGOSHIMA, 890-8544, JAPAN"	"Scopus"	"ARTICLE"
2007	"EXAMINATION OF A LONG-TERM CLOZAPINE ADMINISTRATION BY HIGH RESOLUTION SEGMENTAL HAIR ANALYSIS"	"THIEME D;SACHS H"	"ANTIPSYCHOTIC DRUGS;  CLOZAPINE;  DRUG MONITORING;  HAIR ANALYSIS;  LIQUID CHROMATOGRAPHY-TANDEM MASS SPECTROMETRY;  SEGMENTATION"	"CLOZAPINE;  NORCLOZAPINE; ADULT;  ARTICLE;  CASE REPORT;  DIAGNOSTIC ACCURACY;  DRUG TISSUE LEVEL;  FEMALE;  GROWTH RATE;  HAIR ANALYSIS;  HAIR GROWTH;  HIGH PERFORMANCE LIQUID CHROMATOGRAPHY;  HUMAN;  HUMAN CELL;  HUMAN TISSUE;  INTOXICATION;  ISOCRATIC LIQUID CHROMATOGRAPHY;  LIQUID CHROMATOGRAPHY;  LONG TERM CARE;  MASS SPECTROMETRY;  PRIORITY JOURNAL;  REPRODUCIBILITY;  TANDEM MASS SPECTROMETRY;  ULTRASOUND;  ANTIPSYCHOTIC AGENTS;  CLOZAPINE;  DRUG MONITORING;  FORENSIC TOXICOLOGY;  GAS CHROMATOGRAPHY-MASS SPECTROMETRY;  HAIR;  HUMANS;  REPRODUCIBILITY OF RESULTS"	"10.1016/j.forsciint.2006.04.015"	"FORENSIC SCIENCE INTERNATIONAL"	"INSTITUTE OF FORENSIC MEDICINE, FRAUENLOBSTR. 7A, 80337 MUNICH, GERMANY;FORENSIC TOXICOLOGICAL CENTRE, BAYERSTR. 53, 80335 MUNICH, GERMANY"	"Scopus"	"ARTICLE"
